transaction_id,customer_id,product_id,store_id,date,quantity,unit_price,total_amount
426090,170,76,5,2023-01-06,2,60.33,120.66
751384,405,169,3,2024-04-25,3,84.6,253.8
178439,314,67,4,2024-05-16,1,87.93,87.93
175062,473,56,6,2023-05-15,2,69.66,139.32
450568,46,110,6,2024-01-28,3,94.5,283.5
360559,135,59,4,2024-08-03,2,78.74,157.48
548285,36,183,6,2024-07-21,1,159.53,159.53
240666,174,164,9,2024-03-31,1,340.88,340.88
178608,275,176,9,2023-02-14,3,264.41,793.23
401236,376,46,5,2024-04-10,1,13.56,13.56
835834,76,51,10,2023-03-14,2,135.3,270.6
544077,398,192,5,2024-03-17,2,198.91,397.82
793112,57,147,2,2024-01-09,2,91.89,183.78
553354,174,47,10,2023-11-07,5,90.1,450.5
626483,279,159,10,2024-10-29,2,43.54,87.08
235103,294,200,2,2024-03-11,1,139.66,139.66
612164,141,68,9,2023-12-10,1,77.56,77.56
913274,324,50,4,2023-03-12,1,264.62,264.62
303884,451,88,2,2024-10-22,1,69.76,69.76
763404,79,61,6,2023-10-22,3,84.6,253.8
569240,473,109,9,2024-08-11,3,37.83,113.49
848225,22,75,3,2023-11-19,2,4.01,8.02
992813,239,113,9,2023-04-21,2,100.65,201.3
884489,480,192,6,2023-07-02,2,189.07,378.14
378117,401,138,10,2024-04-27,3,338.93,1016.79
551233,78,53,7,2024-01-30,1,264.41,264.41
220692,259,121,7,2023-08-16,1,198.21,198.21
890619,339,181,9,2023-03-14,2,194.96,389.92
807010,311,57,1,2024-05-10,3,212.08,636.24
242496,402,171,4,2024-10-20,3,17.74,53.22
515136,218,68,7,2023-09-18,2,39.07,78.14
330475,331,51,3,2023-12-26,1,7.99,7.99
895383,207,91,5,2024-10-25,3,96.4,289.2
229988,311,135,1,2024-11-22,1,70.04,70.04
710802,485,109,7,2024-08-19,3,44.75,134.25
342389,55,108,7,2024-11-02,4,195.61,782.44
617885,75,132,5,2024-10-28,1,48.11,48.11
652032,362,34,8,2023-09-29,2,74.25,148.5
364142,76,168,1,2024-06-07,3,88.69,266.07
448152,268,79,4,2024-10-14,3,45.82,137.46
578363,344,112,10,2024-05-24,2,111.32,222.64
211429,108,98,1,2023-02-09,3,55.17,165.51
921777,50,70,4,2023-05-30,1,212.08,212.08
634522,304,150,6,2023-03-28,2,130.62,261.24
554984,447,139,1,2024-06-27,3,19.1,57.3
767235,217,136,7,2023-03-03,1,216.7,216.7
934344,62,174,3,2024-05-10,2,73.61,147.22
884686,352,32,7,2024-03-02,2,128.84,257.68
252810,298,44,6,2023-01-23,2,249.09,498.18
884906,159,122,2,2023-01-30,2,66.5,133.0
750889,450,75,8,2023-02-22,3,76.78,230.34
328790,69,128,5,2024-05-13,3,195.61,586.83
